Time	Dallas1	Dallas2	Thermocouple1	Thermocouple2	Thermocouple3	Thermistor1	Thermistor2
12.781000	25.000000	25.000000	19.000000	21.500000	22.750000	509.000000	508.000000
13.752000	25.060000	25.000000	19.000000	21.500000	22.750000	509.000000	508.000000
14.673000	25.060000	25.060000	19.000000	21.500000	22.750000	509.000000	508.000000
15.597000	25.060000	25.060000	19.000000	21.500000	22.750000	507.000000	506.000000
16.521000	25.060000	25.000000	19.250000	21.500000	23.000000	507.000000	507.000000
17.441000	25.000000	25.000000	19.250000	21.750000	22.750000	507.000000	506.000000
18.365000	25.000000	25.000000	19.750000	21.750000	23.000000	507.000000	506.000000
19.294000	25.000000	25.000000	19.250000	21.500000	22.750000	507.000000	507.000000
20.219000	25.000000	25.000000	20.250000	22.500000	23.000000	507.000000	506.000000
21.147000	25.000000	25.000000	19.500000	22.000000	23.000000	507.000000	506.000000
22.077000	25.000000	25.000000	19.750000	22.000000	23.000000	506.000000	506.000000
23.008000	25.000000	25.000000	20.250000	22.250000	23.000000	506.000000	506.000000
23.941000	25.000000	25.000000	20.500000	22.250000	23.000000	506.000000	506.000000
24.876000	25.000000	25.000000	16.500000	19.750000	22.000000	506.000000	505.000000
25.809000	24.940000	25.000000	17.250000	20.000000	22.000000	506.000000	505.000000
26.741000	24.940000	25.000000	17.000000	19.750000	22.000000	506.000000	505.000000
27.672000	24.940000	25.000000	18.000000	20.250000	22.250000	506.000000	505.000000
28.606000	24.940000	25.000000	17.500000	20.250000	22.250000	514.000000	518.000000
29.545000	24.940000	25.060000	19.000000	21.000000	22.750000	511.000000	510.000000
30.450000	24.940000	25.060000	19.250000	21.000000	22.000000	515.000000	514.000000
31.377000	24.940000	25.060000	17.000000	19.500000	20.750000	515.000000	514.000000
32.308000	25.000000	25.060000	17.750000	20.000000	21.500000	514.000000	513.000000
33.213000	24.940000	25.060000	18.500000	20.750000	22.000000	506.000000	506.000000
34.155000	24.940000	25.060000	21.250000	22.250000	23.000000	510.000000	509.000000
35.090000	24.940000	25.060000	21.500000	22.750000	23.000000	510.000000	509.000000
36.027000	25.000000	25.060000	21.750000	23.000000	23.500000	509.000000	508.000000
36.941000	24.940000	25.060000	21.750000	22.750000	23.250000	510.000000	509.000000
37.886000	24.940000	25.000000	21.750000	22.500000	23.250000	510.000000	510.000000
38.834000	24.940000	25.000000	21.500000	22.500000	23.250000	510.000000	509.000000
39.786000	24.940000	25.000000	21.500000	22.500000	23.250000	510.000000	508.000000
40.698000	24.870000	25.000000	21.500000	22.500000	23.250000	511.000000	510.000000
41.650000	24.870000	25.000000	20.750000	21.500000	23.000000	509.000000	508.000000
42.600000	24.940000	25.000000	19.750000	19.750000	22.250000	509.000000	508.000000
43.550000	24.940000	24.940000	20.250000	19.750000	22.000000	510.000000	509.000000
44.495000	24.940000	25.000000	21.250000	21.000000	23.000000	510.000000	509.000000
45.447000	24.940000	25.000000	22.250000	22.250000	23.000000	509.000000	508.000000
46.402000	24.940000	25.000000	22.750000	23.250000	23.250000	510.000000	508.000000
47.362000	24.940000	24.940000	23.250000	23.250000	23.750000	510.000000	509.000000
48.319000	24.940000	24.940000	23.250000	23.500000	23.750000	508.000000	507.000000
49.280000	24.940000	24.940000	23.000000	23.000000	23.750000	509.000000	508.000000
50.225000	24.870000	24.940000	22.500000	22.500000	23.000000	509.000000	508.000000
51.174000	24.870000	24.940000	22.250000	22.500000	22.750000	511.000000	510.000000
52.135000	24.870000	24.940000	22.250000	22.750000	22.750000	508.000000	507.000000
53.096000	24.870000	24.940000	22.000000	22.250000	22.250000	507.000000	506.000000
54.053000	24.870000	24.940000	22.250000	22.500000	22.500000	507.000000	506.000000
55.012000	24.870000	24.940000	22.250000	22.500000	22.250000	512.000000	509.000000
55.973000	24.940000	24.940000	22.500000	22.750000	22.500000	509.000000	507.000000
56.919000	24.870000	24.940000	22.500000	23.000000	22.750000	511.000000	510.000000
57.871000	24.870000	24.870000	22.250000	23.500000	23.500000	525.000000	524.000000
58.823000	24.870000	24.940000	22.750000	23.750000	24.000000	525.000000	524.000000
59.786000	24.940000	24.940000	23.000000	24.000000	24.000000	521.000000	520.000000
60.748000	24.870000	24.940000	23.250000	24.250000	23.750000	507.000000	506.000000
61.712000	24.940000	24.940000	23.000000	24.250000	23.750000	508.000000	507.000000
62.666000	24.940000	24.940000	23.000000	24.500000	24.000000	508.000000	507.000000
63.624000	24.940000	25.000000	22.750000	24.250000	24.000000	508.000000	507.000000
64.577000	24.940000	25.000000	21.250000	24.000000	23.750000	530.000000	529.000000
65.538000	24.940000	25.000000	21.500000	24.000000	24.000000	516.000000	515.000000
66.495000	24.940000	24.940000	21.500000	23.750000	24.000000	516.000000	514.000000
67.431000	24.940000	24.940000	21.750000	23.750000	23.750000	515.000000	514.000000
68.383000	24.940000	24.940000	20.750000	23.750000	23.750000	508.000000	507.000000
69.340000	24.870000	24.940000	21.250000	23.750000	23.750000	510.000000	509.000000
70.298000	24.870000	24.870000	22.000000	23.500000	23.750000	509.000000	508.000000
71.255000	24.870000	24.940000	22.500000	24.000000	24.000000	513.000000	512.000000
72.214000	24.870000	24.940000	22.000000	24.000000	24.000000	513.000000	511.000000
73.188000	24.870000	24.870000	22.000000	23.750000	24.000000	512.000000	511.000000
74.142000	24.870000	24.940000	22.500000	24.000000	24.250000	512.000000	510.000000
75.101000	24.870000	24.940000	22.500000	24.000000	24.000000	512.000000	510.000000
76.058000	24.870000	24.870000	22.750000	23.750000	24.250000	512.000000	510.000000
