Time	Dallas1	Dallas2	Thermocouple1	Thermocouple2	Thermocouple3	Thermistor1	Thermistor2
11.106000	23.620000	23.750000	18.750000	19.750000	20.750000	501.000000	498.000000
12.072000	23.620000	23.750000	19.250000	20.250000	21.250000	500.000000	498.000000
12.985000	23.620000	23.750000	19.750000	20.750000	21.500000	501.000000	498.000000
13.892000	23.690000	23.750000	19.750000	20.750000	21.500000	500.000000	498.000000
14.793000	23.690000	23.750000	20.250000	21.750000	22.000000	500.000000	497.000000
15.716000	23.690000	23.810000	19.500000	20.750000	21.500000	501.000000	497.000000
16.637000	23.690000	23.810000	18.500000	20.000000	21.000000	500.000000	497.000000
17.546000	23.750000	23.810000	18.250000	19.250000	21.000000	500.000000	497.000000
18.480000	23.690000	23.810000	18.250000	20.000000	21.000000	500.000000	497.000000
19.420000	23.690000	23.810000	18.500000	19.750000	21.000000	500.000000	496.000000
20.360000	23.690000	23.810000	18.250000	19.750000	21.000000	500.000000	497.000000
21.308000	23.690000	23.810000	20.250000	21.500000	21.750000	500.000000	497.000000
22.244000	23.750000	23.810000	20.250000	21.500000	21.750000	500.000000	497.000000
23.186000	23.690000	23.810000	19.000000	20.250000	21.000000	500.000000	497.000000
24.135000	23.750000	23.810000	19.250000	20.500000	21.250000	500.000000	496.000000
25.078000	23.750000	23.810000	19.500000	20.750000	21.500000	500.000000	496.000000
26.028000	23.750000	23.870000	19.000000	20.500000	21.750000	500.000000	497.000000
26.972000	23.750000	23.810000	19.000000	20.000000	21.250000	500.000000	496.000000
27.882000	23.750000	23.870000	18.750000	20.000000	21.500000	500.000000	497.000000
28.845000	23.750000	23.870000	17.250000	18.750000	20.750000	500.000000	497.000000
29.793000	23.750000	23.870000	17.250000	19.250000	20.750000	500.000000	497.000000
30.716000	23.750000	23.870000	17.750000	19.500000	21.000000	500.000000	497.000000
31.671000	23.750000	23.870000	17.750000	19.250000	21.000000	500.000000	496.000000
32.578000	23.750000	23.870000	19.000000	20.500000	21.250000	500.000000	496.000000
33.530000	23.750000	23.870000	19.000000	20.500000	21.250000	500.000000	497.000000
34.485000	23.750000	24.060000	19.000000	20.750000	21.250000	500.000000	497.000000
35.428000	23.750000	25.190000	19.000000	20.500000	21.250000	500.000000	497.000000
36.384000	23.750000	26.120000	19.250000	20.750000	21.250000	500.000000	496.000000
37.346000	23.750000	26.810000	19.250000	20.500000	21.250000	500.000000	497.000000
38.278000	23.750000	27.310000	19.250000	20.750000	21.250000	500.000000	497.000000
39.239000	23.750000	27.690000	19.250000	20.500000	21.250000	501.000000	497.000000
40.199000	23.750000	27.940000	19.000000	20.750000	21.250000	501.000000	497.000000
41.157000	23.750000	27.810000	19.000000	20.750000	21.250000	501.000000	497.000000
42.118000	23.750000	27.560000	18.500000	20.750000	21.000000	501.000000	497.000000
43.079000	23.750000	27.310000	17.750000	21.500000	21.000000	500.000000	496.000000
44.033000	23.750000	27.190000	18.250000	20.500000	21.250000	501.000000	498.000000
44.981000	23.810000	27.060000	17.000000	26.250000	21.000000	500.000000	496.000000
45.934000	23.870000	26.870000	17.250000	28.250000	21.250000	502.000000	497.000000
46.885000	23.870000	26.750000	17.000000	28.750000	21.000000	502.000000	497.000000
47.844000	23.870000	26.560000	17.000000	29.000000	21.000000	502.000000	497.000000
48.795000	23.810000	26.440000	16.750000	29.250000	21.000000	502.000000	497.000000
49.747000	23.810000	26.310000	17.000000	29.500000	21.000000	502.000000	498.000000
50.702000	23.810000	26.190000	18.750000	26.250000	21.500000	502.000000	498.000000
51.662000	23.810000	26.120000	18.250000	25.000000	21.250000	502.000000	498.000000
52.618000	23.870000	26.060000	18.000000	25.500000	21.250000	503.000000	498.000000
53.583000	23.870000	26.000000	19.000000	24.500000	21.750000	509.000000	499.000000
54.538000	23.940000	25.940000	18.750000	24.000000	21.500000	514.000000	499.000000
55.502000	23.940000	25.870000	18.750000	24.000000	21.500000	517.000000	499.000000
56.462000	23.940000	25.810000	18.750000	24.000000	21.500000	518.000000	499.000000
57.422000	23.940000	25.750000	18.750000	23.750000	21.500000	520.000000	499.000000
58.384000	24.000000	25.690000	19.000000	23.750000	21.750000	522.000000	500.000000
59.345000	24.000000	25.690000	18.750000	23.500000	21.500000	522.000000	499.000000
60.303000	24.000000	25.620000	19.000000	23.000000	21.750000	517.000000	499.000000
61.264000	23.940000	25.560000	19.250000	23.000000	21.750000	515.000000	500.000000
62.224000	24.000000	25.560000	19.000000	23.000000	21.500000	513.000000	500.000000
63.187000	24.310000	25.500000	19.750000	22.500000	21.750000	511.000000	501.000000
64.105000	25.060000	25.440000	19.500000	22.250000	21.750000	510.000000	501.000000
65.074000	25.560000	25.440000	19.000000	21.750000	21.500000	509.000000	501.000000
65.985000	25.940000	25.370000	19.000000	21.750000	21.500000	509.000000	502.000000
66.939000	26.190000	25.370000	19.000000	21.500000	21.500000	509.000000	503.000000
67.895000	26.440000	25.310000	19.250000	21.500000	21.500000	508.000000	503.000000
68.869000	26.620000	25.250000	19.000000	21.250000	21.500000	508.000000	503.000000
69.826000	26.750000	25.250000	19.250000	21.250000	21.500000	508.000000	504.000000
70.784000	26.750000	25.190000	20.000000	22.000000	21.750000	509.000000	505.000000
71.696000	26.560000	25.190000	23.250000	21.000000	21.500000	509.000000	511.000000
72.667000	26.370000	25.190000	22.750000	21.500000	21.750000	509.000000	515.000000
73.627000	26.190000	25.120000	21.250000	21.250000	21.750000	508.000000	522.000000
74.594000	26.060000	25.120000	21.000000	20.750000	21.750000	508.000000	525.000000
75.555000	25.870000	25.060000	21.000000	20.750000	21.750000	507.000000	528.000000
76.505000	25.750000	25.060000	20.750000	20.250000	21.500000	506.000000	528.000000
77.464000	25.690000	25.000000	20.750000	20.250000	21.500000	507.000000	530.000000
78.380000	25.560000	25.000000	20.750000	20.000000	21.250000	504.000000	526.000000
79.339000	25.440000	24.940000	20.000000	20.750000	21.500000	505.000000	520.000000
80.307000	25.370000	24.940000	27.250000	18.250000	20.500000	501.000000	513.000000
81.262000	25.310000	24.940000	28.250000	18.500000	20.500000	501.000000	511.000000
82.220000	25.190000	24.940000	28.250000	18.250000	20.250000	501.000000	509.000000
83.179000	25.190000	24.870000	28.500000	18.250000	20.250000	501.000000	508.000000
84.141000	25.120000	24.940000	28.750000	18.250000	20.250000	501.000000	507.000000
85.103000	25.060000	24.870000	24.000000	21.000000	21.500000	501.000000	506.000000
86.063000	25.000000	24.870000	23.000000	20.750000	21.500000	501.000000	506.000000
87.021000	24.940000	24.870000	23.000000	20.250000	21.500000	501.000000	507.000000
87.984000	24.940000	24.870000	21.500000	20.000000	25.750000	502.000000	507.000000
88.946000	24.870000	24.870000	20.500000	20.000000	26.750000	502.000000	507.000000
89.875000	24.870000	24.870000	20.000000	19.250000	27.250000	502.000000	507.000000
90.833000	24.870000	24.870000	20.000000	19.500000	27.750000	502.000000	508.000000
91.795000	24.750000	24.940000	19.750000	19.500000	28.000000	502.000000	508.000000
92.778000	24.750000	24.940000	19.750000	18.500000	28.000000	502.000000	508.000000
93.746000	24.750000	24.940000	18.750000	17.500000	28.250000	501.000000	509.000000
94.704000	24.750000	24.940000	20.250000	18.750000	26.000000	501.000000	508.000000
95.667000	24.690000	24.940000	19.750000	20.500000	25.750000	501.000000	507.000000
96.624000	24.690000	24.870000	20.500000	20.750000	25.500000	501.000000	506.000000
97.589000	24.620000	24.870000	20.750000	21.250000	25.250000	501.000000	506.000000
98.506000	24.620000	24.870000	21.250000	21.500000	25.250000	501.000000	506.000000
